Episode Number,Final Score,constant,goal state dist,enemy state dist,entity state dist,ldisc dist,rdsic dist
0,550
1,0
2,200
3,600
4,250
5,25
6,200
7,175
8,375
9,50
10,100
11,75
12,200
13,150
14,125
15,25
16,200
17,450
18,175
19,75
20,0
21,425
22,200
23,150
24,500
25,225
26,450
27,450
28,100
29,150
30,25
31,25
32,50
33,0
34,325
35,200
36,200
37,525
38,175
39,0
40,50
41,175
42,0
43,50
44,75
45,150
46,125
47,325
48,0
49,25
50,75
51,150
52,0
53,525
54,600
55,50
56,150
57,300
58,100
59,100
60,50
61,50
62,100
63,300
64,50
65,25
66,100
67,50
68,50
69,525
70,175
71,100
72,125
73,275
74,200
75,25
76,375
77,125
78,50
79,75
80,550
81,250
82,175
83,575
84,50
85,50
86,125
87,0
88,175
89,75
90,175
91,250
92,450
93,50
94,175
95,225
96,675
97,100
98,150
99,50
100,100
101,50
102,150
103,25
104,700
105,525
106,75
107,75
108,225
109,175
110,150
111,75
112,100
113,50
114,125
115,250
116,150
117,225
118,250
119,475
120,75
121,475
122,0
123,75
124,125
125,200
126,175
127,650
128,125
129,100
130,225
131,175
132,425
133,75
134,150
135,250
136,150
137,500
138,75
139,100
140,0
141,50
142,150
143,225
144,75
145,100
146,50
147,50
148,575
149,400
150,200
151,75
152,75
153,100
154,25
155,25
156,375
157,50
158,25
159,125
160,600
161,50
162,225
163,125
164,150
165,250
166,50
167,50
168,275
169,325
170,50
171,425
172,50
173,150
174,175
175,175
176,150
177,275
178,125
179,325
180,75
181,275
182,475
183,50
184,25
185,50
186,125
187,75
188,175
189,175
190,50
191,500
192,625
193,0
194,150
195,175
196,125
197,100
198,150
199,275
200,575
201,25
202,250
203,175
204,25
205,175
206,400
207,75
208,50
209,75
210,175
211,0
212,200
213,450
214,75
215,275
216,175
217,175
218,175
219,25
220,200
221,500
222,75
223,175
224,50
225,100
226,150
227,25
228,300
229,200
230,175
231,125
232,200
233,25
234,50
235,75
236,50
237,75
238,250
239,375
240,325
241,125
242,0
243,100
244,175
245,250
246,0
247,25
248,225
249,100
250,225
251,225
252,150
253,175
254,200
255,400
256,125
257,125
258,125
259,0
260,300
261,150
262,675
263,25
264,225
265,75
266,75
267,125
268,50
269,25
270,275
271,50
272,125
273,25
274,25
275,100
276,175
277,25
278,500
279,675
280,25
281,25
282,100
283,50
284,225
285,125
286,0
287,100
288,100
289,50
290,125
291,100
292,425
293,175
294,50
295,200
296,0
297,150
298,125
299,400
300,25
301,525
302,225
303,125
304,175
305,100
306,275
307,75
308,50
309,0
310,25
311,75
312,100
313,175
314,175
315,75
316,50
317,100
318,200
319,75
320,100
321,50
322,600
323,175
324,150
325,75
326,225
327,175
328,125
329,75
330,725
331,25
332,150
333,150
334,350
335,125
336,0
337,550
338,175
339,125
340,200
341,450
342,125
343,75
344,400
345,25
346,675
347,225
348,475
349,50
350,575
351,0
352,100
353,100
354,175
355,375
356,250
357,475
358,100
359,225
360,0
361,50
362,475
363,0
364,75
365,50
366,50
367,75
368,50
369,175
370,75
371,100
372,575
373,125
374,150
375,50
376,425
377,25
378,300
379,100
380,225
381,225
382,575
383,25
384,150
385,75
386,75
387,225
388,125
389,25
390,475
391,100
392,575
393,225
394,150
395,125
396,50
397,125
398,1125
399,275
400,75
401,25
402,50
403,25
404,150
405,225
406,0
407,100
408,400
409,100
410,875
411,175
412,175
413,50
414,250
415,75
416,350
417,275
418,50
419,100
420,350
421,125
422,100
423,50
424,550
425,400
426,50
427,50
428,250
429,150
430,75
431,50
432,250
433,650
434,0
435,150
436,150
437,50
438,175
439,50
440,175
441,475
442,200
443,275
444,50
445,575
446,100
447,625
448,250
449,125
450,125
451,225
452,150
453,75
454,525
455,125
456,150
457,25
458,225
459,150
460,75
461,100
462,25
463,275
464,375
465,375
466,525
