Episode Number,Final Score,constant,goal state dist,enemy state dist,entity state dist,ldisc dist,rdsic dist
0,475,-26.16196137298538,-30.896742646404853,-6.793347118350316,3.5193710885278415,-31.116582437250376,-32.84670560146204,-8.341420302338554
1,200,-59.26791618467353,-58.333779401014695,-11.413525717397649,3.5193710885278415,-61.016654893532056,-56.82938296493996,-31.052977681505627
2,250,-87.1936181923918,-79.8297796293269,-14.483392666340311,3.5193710885278415,-77.2511036890351,-84.6896677368325,-50.590287609722346
3,450,-115.31536745455146,-89.20217240552243,-21.231547768067596,4.63572925024035,-84.254451358693,-95.24255609691564,-69.71951559620568
4,375,-116.07424207219722,-83.99935543976751,-18.77135274862028,7.118134651899551,-77.27988652402694,-95.9431255241167,-70.45454369862628
5,375,-160.15540285463243,-94.34704661639357,-21.17935561729284,0.5971648368428291,-83.96899831021375,-109.66420986070831,-95.16835809678989
6,175,-183.15757566071196,-110.3183682053236,-20.981660761892847,0.5971648368428291,-102.47493366486516,-121.44417611797155,-113.59513354388024
7,300,-196.42578246541524,-117.8822502398216,-29.406503176123294,0.5971648368428291,-113.21257617295518,-125.1473558759719,-125.65375897499163
8,225,-196.51981426881682,-123.49415207099914,-37.548770569695,0.5971648368428291,-114.57998135084908,-128.83255654976287,-135.90459803642867
9,300,-212.41044040216786,-124.45142860683411,-43.69010084772657,1.7098627647660654,-121.62907035328263,-128.72298941970186,-140.00158341834538
10,900,-190.47933842105368,-105.77816201294509,-33.74485971328723,3.3901161136570725,-110.11712558644192,-111.05027852226769,-111.0346268095301
11,300,-190.54327270259583,-98.6065690981368,-33.22125277672615,4.1237743231258275,-99.83846813734182,-111.25110896245077,-100.92611227810494
12,200,-202.3769051562895,-104.01047075317744,-39.98685377856616,4.1237743231258275,-106.91398207279907,-116.1424117479019,-111.30691776080987
13,250,-235.0290208638528,-122.96113357802054,-43.48206817407696,4.1237743231258275,-126.28565068610712,-136.7091285196197,-134.48040922537396
14,675,-242.89778741785082,-120.75680446039253,-46.50214105539744,11.268660725478085,-124.41136236816453,-140.78574916138103,-130.67782033609765
15,300,-239.48886147536834,-113.44824881455975,-38.271426922731656,8.024237105681399,-119.73820132524077,-137.86962263185052,-119.19454982797875
16,225,-242.51006744773377,-111.4066605282774,-38.297508332239055,8.024237105681399,-122.37970069929398,-132.1836993192806,-119.25619470853864
