Episode Number,Final Score,constant,goal state dist,enemy state dist,entity state dist,ldisc dist,rdsic dist
0,100,-43.38118570623575,-38.030648258232375,-7.9479164815187975,-5.092612651084078,-42.03927608976619,-37.293988251755344,-25.791352391988813
1,200,-86.71986490641066,-64.70073608120309,-15.105059613612072,-5.092612651084078,-73.14552471660421,-71.87902613175042,-53.052907613082844
2,600,-91.95034887988957,-66.76824949811596,-24.73035249009804,1.0156678127994505,-79.77884934444364,-78.84814456810588,-46.41896667124075
3,300,-104.66854793245086,-73.11420970897788,-24.47196542861436,1.0156678127994505,-92.89319217653473,-83.30941849456936,-56.40984212329908
4,625,-94.32601165819175,-61.00694427001589,-27.335004408945572,5.424660464454087,-86.03991002925709,-67.35821204794442,-37.66197911643372
5,600,-83.47278962695867,-48.24798290977994,-40.86450163149806,14.017712832377075,-75.06091180439641,-56.12854497130782,-20.16661680729257
6,700,-73.26136108269513,-36.70775375551351,-45.78274131650374,18.452342623062872,-66.33174022725686,-44.34060599610313,-2.898597086906693
7,150,-116.46571017912854,-71.48680156479135,-58.415309188444326,18.452342623062872,-103.45570535088551,-84.70354651029537,-31.170165303089785
8,625,-135.9119430659306,-72.65564214357498,-64.8410667482539,22.793464516759332,-112.59570748706439,-93.88388425864933,-30.867065387481293
9,325,-167.82661101422468,-89.69777439436848,-65.82455352862517,22.793464516759332,-120.65364871653752,-110.97427279078615,-48.03099056737699
10,650,-169.21656418654868,-83.7662223875819,-83.36062948947279,28.34869622763421,-114.86401054251253,-113.30463145794556,-38.436926228264596
11,675,-156.2485902969216,-71.48527351048021,-76.8684992978947,32.410141095842015,-95.81011395021585,-101.82914917261492,-26.250016908387895
12,325,-162.2142293280117,-68.05208056887051,-77.4172698480793,28.24525039856207,-96.77665809401356,-86.8100033243235,-26.075532859427504
13,575,-157.0440545735576,-52.74603053356542,-91.76607825452896,28.24525039856207,-69.16645136063855,-81.10128045582965,-5.570731449454426
14,625,-178.78727067541033,-55.872075828210676,-95.06785774394731,36.232415198597934,-86.57240197560164,-85.84299747383126,-6.734262562723769
15,175,-205.43890647685805,-74.31886454325009,-100.99555683878448,36.232415198597934,-105.77748612357132,-105.7573581438697,-24.21798922016642
16,650,-206.0791313425177,-68.2927258898381,-105.6537334739197,41.63271665580081,-99.49808562134712,-112.3515065790268,-16.773960474092494
17,250,-234.96022543632134,-80.75417446703571,-115.71121628716209,27.81976563924326,-126.89394032104855,-121.67522550932814,-32.184939003999965
18,350,-257.2168463101193,-77.23106411384812,-124.01824104904317,23.903807795312563,-133.66278449139165,-117.83094081004161,-39.70478721787537
19,300,-266.3869924718471,-76.36312396863863,-132.49881392981513,24.594242256888183,-127.67691979123892,-124.6780722619299,-43.38664702376871
20,200,-287.09696753354865,-93.79124101226476,-137.33973448040518,24.594242256888183,-142.11494354877746,-145.29939655601868,-58.37178866640971
21,375,-274.0246202931845,-78.25077046711691,-139.09298790222013,25.375913817957315,-125.1965472390797,-124.26373538917177,-44.051918930024975
22,300,-269.58216256826887,-69.18721088338437,-143.03108802096284,27.033177141974775,-123.20509360778188,-113.0936846669059,-32.77309220730162
23,850,-244.2287194724083,-67.92933357715434,-136.22970570045754,27.033177141974775,-114.96859436642033,-125.0707556353002,-37.15224409485753
24,250,-259.9618221354095,-80.66257331425663,-145.52705686784307,27.033177141974775,-125.96423397348568,-136.23291130366084,-52.80626881764856
25,325,-275.23243919930565,-80.20036675829988,-149.73527541885232,22.098030547915993,-123.99870468054257,-134.01570820165367,-60.569992681085495
26,650,-269.02478481548457,-67.90051856681279,-150.87437530211545,26.5622723107564,-110.50930409956013,-123.18712155663363,-48.31335983529685
27,225,-288.0547072721567,-85.997467804548,-157.9329912901221,26.5622723107564,-130.15504045611564,-133.128305515391,-63.505756011000244
28,275,-308.13608352066683,-88.42586207605825,-164.961574449008,21.460513139644643,-144.41879017511312,-133.90767389797037,-70.5950361862544
29,250,-313.44707091733125,-85.14726912328885,-174.56879346389283,17.37637422493942,-142.42957620127703,-123.84930641542977,-69.3818280546564
30,475,-323.0390715639529,-75.15400243015458,-182.27458326322707,17.092162497608125,-133.27526020663856,-116.58342997901092,-66.08127549084276
31,600,-334.14404135418914,-77.27415068525578,-189.59890276254848,23.536927805157234,-144.16643198804252,-139.82489218183437,-58.09633209770192
32,175,-346.03165551595765,-87.4081200359017,-189.9437322941728,23.536927805157234,-153.74797279686058,-154.36125516680954,-64.49981598654165
33,325,-355.6656356396073,-77.51769657838285,-190.72164717090675,24.980788873753646,-148.45600296610797,-142.29521929398146,-58.513455046424184
34,225,-359.9659998771799,-84.85558403577707,-192.484245882472,24.980788873753646,-155.37641344134522,-149.79285509683683,-65.85451792768652
