Episode Number,Final Score,constant,goal state dist,enemy state dist,entity state dist,ldisc dist,rdsic dist
0,50,4.96966951567771,3.6565697956347694,-0.12375148844314432,0.3571725298909716,3.577176194872854,2.811422220529293
1,0,4.624202422013084,3.2921034068302313,-0.29310892244452974,0.3571725298909716,3.260994629247168,2.485430799224624
2,0,4.407101345651209,3.0630626479323526,-0.35228365229029884,0.35078629627540053,3.061081314818237,2.279314970240568
3,100,8.741366537193425,6.930392665407186,2.2652689346970876,0.35078629627540053,6.493495865807606,5.888192529050643
4,75,9.939204923981121,7.593245823297482,2.3561700109316153,1.6672328557689742,7.285047166235021,6.41233806516974
5,75,12.107554809089416,9.4382151906417,1.7006876286083759,1.4597941534834193,8.849031070613394,8.214239523622204
6,75,13.76036814434316,10.673649809204221,0.9232911091034991,1.842705980748267,9.872137779361433,9.495298146769718
7,75,15.832184096796293,12.414961351328436,3.2184985683846206,1.7770102049274623,11.563993200308822,11.0578423835345
8,75,17.006966411915283,13.151657542325617,3.4438532855100275,2.2138719443034285,12.162759306727128,11.872086084992615
9,75,17.716836289242124,13.236386093449271,2.1240689447632097,2.2138719443034285,12.191204395535092,12.087767478640218
10,50,18.512496763366304,13.478267473441448,1.3879179174977785,2.2138719443034285,12.675358352684137,12.176024260199597
11,75,19.507930451490605,14.093946252849229,1.4139985268863473,2.6706079384804333,13.183671443166034,12.856825065014952
12,375,35.569661011256066,30.080109785226256,0.334238325008912,6.063935770818539,27.337338101193232,27.245154397281976
13,75,36.360399533167374,30.103629111306297,-0.1408611744111998,5.924364178275704,27.508894571956617,27.33151410273228
14,50,35.30249430551792,28.394991627046547,-0.3649302131062374,5.924364178275704,25.90732037613169,26.040435038695342
15,100,35.073866066671705,26.883124914629803,-0.6986457207961506,5.768177334393722,24.60382792503531,24.920151830238737
16,75,35.861867655599454,27.118658163666183,-0.011074331124775679,5.768177334393722,24.827222903717804,25.29380132706072
17,75,35.21436452405909,25.85166345310293,-0.3649038505790631,5.641091391401389,23.980935127284884,24.020943034990044
18,75,30.503315753076464,19.51863196703393,-2.6149468356514673,5.020479192338824,18.423678584001163,18.497637691941087
19,75,29.951996874875572,18.44360321019554,-1.8680660318047675,4.76007877008888,17.658652233355014,17.520651883139333
20,50,30.092356616072276,18.22316056023531,-1.4532421751086337,4.76007877008888,17.39257143793775,17.473262468651786
21,50,29.268251366901637,16.982486904564254,-2.569727075940954,4.725273089093561,16.23842545293719,16.51022965691322
22,75,30.457484854197777,17.556277714177593,-2.0497169426449555,4.725273089093561,16.75948230241573,17.188013081183648
23,75,27.86806127404797,14.261861158991733,-3.3953306115831925,3.8872500478901864,13.809327330717768,14.302598827401287
24,75,28.282398073351075,13.926829317414072,-3.245679608774639,3.764991554778475,13.476017565399657,14.220403289654572
25,75,27.801081344118497,12.706656164972443,-4.342207038346921,4.197878692008291,12.611752146208385,13.004499045652835
26,50,27.086200019941263,11.497385717611769,-3.2696662102242215,4.197878692008291,11.463498378644228,12.107375446334421
27,0,26.575020781378864,10.958093685093163,-3.294841705539413,4.197878692008291,10.992788893639506,11.622061719284513
28,75,26.8713782884444,10.750518791091334,-4.253865820428506,4.720885333736792,11.061957171238507,11.49180262585631
29,50,27.08546545451353,10.574296759819887,-5.0518821179777635,5.119082449799875,10.822141156034883,11.495389012713296
30,75,28.14322698089091,11.166293313258594,-5.980597457172431,5.382013698682583,11.281629851596437,12.19804295532616
31,50,28.459392241773347,11.185570488710407,-6.858094118451324,5.382013698682583,11.223258083610506,12.338501882625502
32,100,30.992889595820962,13.004767997106255,-5.918954657841423,5.382013698682583,12.783755017739173,14.20097579906177
33,0,29.79574764751058,11.74178807575176,-6.47255481647431,5.382013698682583,11.681390079070136,13.06440886340878
34,50,29.502013352771122,10.979620475409252,-7.056349091920511,5.382013698682583,11.21692618384256,12.260963280649106
35,175,32.593315866784124,12.142195864725549,-6.420812989676754,4.774468973013979,12.87102331752273,13.365906261347575
36,0,30.148366521666592,9.56278417844182,-6.948763843418246,4.66707918133665,10.62857697965868,11.053885737845032
37,100,33.170464086421234,11.915297014801116,-7.4350198357940185,4.446998173954857,12.801532090156458,13.332434043445106
38,75,35.40736077654203,13.749173513495744,-7.479751325624352,4.446998173954857,14.431204160746036,15.099476310675236
39,75,37.02915831724845,14.86777236937748,-7.677012861650686,4.446998173954857,15.412987232646548,16.244007418115583
40,375,51.48061705882348,29.36026744382074,-9.110287493179781,7.827365218572514,28.286488979994,29.20289498752667
41,75,49.12982241711723,25.919667111063294,-10.219225450088631,7.906955919437221,25.22089978129933,26.295233257708727
42,50,45.49428679898826,21.296588291208554,-12.2203098345349,8.574552257773307,21.009714592574607,22.44908701073788
43,75,45.68541467924042,20.839713430920398,-12.152020349411977,7.916094274812982,20.589297789872685,22.236773405523877
44,0,44.24436336114335,19.31941010935794,-12.428913260055793,7.811140069905986,19.262333639852645,20.868638838825323
45,75,44.84237617441052,19.074405295771957,-12.017053721293669,7.811140069905986,19.15189911181698,20.762499552096937
46,75,44.01486794627176,17.6570329772058,-10.768605034444963,6.861283355343936,18.10788348916967,19.42521311502721
47,75,41.11906979779353,13.91979419351111,-13.707546162721675,6.430186060047056,14.770419241464113,16.224235952578702
48,0,39.05180738229123,11.738840692854692,-13.74746362211339,6.231265481852747,12.86682075083038,14.261576376499034
49,50,38.33884938742973,10.646115196659451,-14.23807875718476,5.523844223129092,12.064390296317052,13.20064360144524
50,375,49.2314509474547,20.894537349449536,-16.412472569645516,8.913412060950193,21.35497722199137,22.508493858402566
51,0,44.071230620617925,15.450525741838167,-17.59306198757799,7.874114472676055,16.60328844177555,17.60937908555142
52,575,59.181032920314834,29.41526084139358,-17.54414630956741,6.491580327508741,29.133826642185475,31.134919587053588
53,75,60.40494466770288,29.740231282591473,-17.909432216244575,7.339017696544035,29.581985391519304,31.52933721765445
54,75,57.950839071880615,26.070569183319407,-20.04519048402115,8.162970501136499,26.404539872361088,28.386207500017772
55,0,53.799323138298924,21.690736637398523,-21.97054734290404,8.162970501136499,22.58169696391114,24.444756989821318
56,75,54.23173675859041,21.336592169099376,-22.371793345799723,8.162970501136499,22.19365952471335,24.404885468894296
57,50,52.0629739415649,18.587787671797454,-23.232928021604327,7.642227301996746,19.670400502629278,22.105413906362443
58,75,53.114678493057006,19.15294592612479,-22.834842254687885,7.642227301996746,20.358078132256697,22.541194790172526
59,75,48.70883722689349,13.755213758464405,-24.687601228043462,6.524205650589232,15.538228142207878,17.728022108629723
60,575,63.28290055109526,27.694614734406404,-26.245448890270424,6.001564017000039,28.087298086645927,30.91291727375753
61,100,63.5671956747947,27.172832000946034,-26.791817457056425,5.522542828529091,27.864015687917394,30.43336223898553
62,50,63.2132300291636,26.37545397104488,-26.791817457056425,5.880150405363397,27.078697079115273,29.887393197713795
63,50,61.23757614010045,23.72890557367989,-28.141757466314328,5.616587274873905,24.63153138229011,27.724774587976423
64,75,61.11454415127341,23.08853275533727,-27.32438246113716,5.460763436646885,24.077980005798484,27.308899130835176
65,75,60.251327453099634,21.45171098787591,-29.572111512594468,5.9002364364925715,22.649391048115508,26.007766524118733
66,50,60.06724103905399,20.920321306906096,-29.425112227738904,5.9002364364925715,22.333429989950837,25.44754506607808
67,75,57.57853384916912,17.623315518448145,-31.14531419481342,4.691073470591129,18.23376943583256,21.233014631728654
68,100,54.95768819542019,13.924865896527283,-31.614852057480647,4.4062386686755355,14.974045378878587,18.086319925743208
