Episode Number,Final Score,constant,goal state dist,enemy state dist,entity state dist,ldisc dist,rdsic dist
0,50,0.42862582065929306,0.4843891192789114,-0.20279550947870664,-0.06478823048588715,0.2245829111155495,0.2580930382632323
1,150,0.4299685631642912,0.4896188268356075,-0.21044467337558753,-0.09162598353493319,0.1579191694167289,0.264700227897323
2,75,0.43002952282498336,0.4897630418265709,-0.16407093985342025,0.07423768391973816,0.12066985682572488,0.185705469742715
3,75,0.43024679281611167,0.49089135428976005,-0.16859374389474854,0.23234289972742847,0.10375739108909644,0.11706829653199315
4,50,0.43074983737570083,0.49316180024694056,-0.1370126807511017,0.23559964217979287,0.13720562793434796,0.16189506389736674
5,50,0.4304489200607937,0.49182616631133164,-0.11634915370685402,0.2363203021959136,0.07775806598681419,0.12053241336385749
6,50,0.43025361801424583,0.49094446492021293,-0.07651666140921899,0.23407510533222625,0.0394545919754251,0.07385899437203229
7,150,0.43024744546800125,0.4911968837515628,-0.009641102580690885,0.1844947028577071,-0.003244829819103565,0.044675349125670054
8,150,0.4308100224331821,0.49393350816008735,-0.02072861278148252,0.15070800700768586,-0.0015781065856493885,0.06048547833822152
9,0,0.43076791286786276,0.49374434765280045,-0.01964116020776117,0.14943151188132023,-0.016837854746023187,0.043592340963572784
10,200,0.4314101872074258,0.4969283177635926,0.002716669527611675,0.09784827255238687,-0.023533300340859667,0.06837065512629785
11,375,0.43271094594074566,0.5029376855517889,-0.12267568530897018,0.09762547901829191,0.0474435888778125,0.07280393829936288
12,50,0.43315616753201724,0.5050778741921131,-0.08735137040766941,0.0928422837688772,0.07844811181422214,0.08853468975857795
13,75,0.4334873495143604,0.5065313553859907,-0.08582053447604127,0.07643397976974074,0.03639570794915366,0.08531817309070064
14,75,0.43320868061457957,0.505364390532514,-0.08179036169806769,0.06136583315262749,-0.01986784559389022,0.04523470611091136
15,675,0.4373641837815732,0.5204792242168157,-0.04824070563380588,0.053348832238685855,-0.007765037237268954,0.4709786330234866
16,50,0.43786408475048544,0.5227372544380896,-0.03349637970986689,0.013220545319818238,-0.07739393687420315,0.4197905720407479
17,50,0.4386585514785124,0.5261452157673538,-0.04810029393239567,0.011031138939432285,-0.08143165885434211,0.41369700703014783
18,150,0.44096345929982844,0.5357482256106892,-0.1792809822342609,0.12868718395169035,-0.1002060099493585,0.5981593906273708
19,125,0.44254880274438085,0.5424043314134299,-0.1911933087154293,0.27565902985179236,-0.07401096500335205,0.6214824049484803
20,150,0.4456836572374136,0.5557173840504654,-0.1507968267294197,0.41030425442323876,-0.18276025734582418,0.7799276277668034
21,125,0.44730825645356037,0.5625815098832719,-0.14238748770870813,0.40664176317547857,-0.13695445402970646,0.7305264806785121
22,125,0.4484426753129163,0.5673508002432529,-0.19210469734435318,0.4399715468051611,-0.14003106388017736,0.6756734500490809
23,700,0.45205887438591996,0.5803632529427749,-0.34320166941596914,0.4763138718698626,-0.020825178128925353,0.6962612251517744
24,50,0.45283116410826907,0.5834407244080888,-0.173372659922596,0.441486345312996,-0.06487977244132406,0.5734480417659534
